Manuscrit,Numérisation,Notes
"Admont, Stiftsbibl., 7",Manoscritti giuridici medievali (Atria has)(Raphaël has the full ms)Pas de manifest iiif,
"Admont, Stiftsbibl., 22",https://manuscripta.at/?ID=25877Pas de manifest iiif,
"Admont, Stiftsbibl., 23",https://manuscripta.at/?ID=25878,
"Admont, Stiftsbibl., 35",Manoscritti giuridici medievali(Raphaël has the full digitalized ms),
"Admont, Stiftsbibl., 43",https://manuscripta.at/?ID=25944,
"Admont, Stiftsbibl., 48",CiSaMe has full HD ms - it will be soon available on manuscripta.at,
"Alençon, B.M., 134",https://bvmm.irht.cnrs.fr/sommaire/sommaire.php?reproductionId=19107,
"Angers, B.M., 329 (M.Q)",/,
"Angers, B.M., 370 (M.Q)",/,
"Amiens, B.M., 377",https://bvmm.irht.cnrs.fr/consult/consult.php?reproductionId=15291,
"Angers, BM 394",/,
"Antwerp, Museum Plantin M.13",CiSaMe has full HD msAntwerp = Anvers !,
"Arras, B.M., 271",https://bvmm.irht.cnrs.fr/iiif/24022/canvas/canvas-2406207/view,
"Arras, B.M., 592 (500)",https://bvmm.irht.cnrs.fr/sommaire/sommaire.php?reproductionId=32305,
"Arras, B.M., 618 (686)",https://bvmm.irht.cnrs.fr/sommaire/sommaire.php?reproductionId=24850,
"Aschaffenburg, Stiftsbibl. 26",Manoscritti giuridici medievaliPas trouvé,
"Avranches, B.M., 148",https://emmsm.unicaen.fr/emmsm/bvmsm/mirador/?link=https://emmsm.unicaen.fr/manifests/Avranches_BM_148.json&canvasId=&canvasIndex= Impossible d’avoir de la bonne qualité,
"Avranches, B.M., 156",Manoscritti giuridici medievali (MF)mirador (full pictures)Impossible d’avoir de la bonne qualité,
"Baltimore, Walters 777",/,
"Bamberg, Staatsbibl. Can. 13",CiSaMe has full HD ms,
"Bamberg, Staatsbibl. Can. 14",CiSaMe has full HD ms,
"Bamberg, Staatsbibl. Can. 15",CiSaMe has full HD ms,
"Bamberg, Staatsbibl.,Can. 17",urn:nbn:de:bvb:22-msc.can.17-7,
"Bamberg, Staatsbibl.,Can. 19",urn:nbn:de:bvb:22-dtl-0000014970,
"Bamberg, Staatsbibl., can. 20",urn:nbn:de:bvb:22-dtl-0000014982,
"Bamberg, Staatsbibl., can. 38 I",Manoscritti giuridici medievali,
"Bamberg, Staatsbibl., Can. 40",CiSaMe has full HD ms,
"Bamberg, Staatsbibl., Can 41",CiSaMe has full HD ms,
"Bamberg, Staatsbibl., can. 42",CiSaMe has full HD ms,
"Bamberg, Staatsbibl. Can. 45",urn:nbn:de:bvb:22-dtl-0000003991,
"Barcelona, Archivo de la Corona de Aragón, Ripoll 78",Manoscritti giuridici medievali (Atria has color images),
"Basel, Universitätsbibl. C.I.13",Manoscritti giuridici medievaliMauvaise qualité,
"Beaune, Bibl. mun. 5",/,
"Berlin, Staatsbibl. Phillips 1742(le MF s’interrompt à la D. 74)",Manoscritti giuridici medievali,
"Berlin, Staatsbibl., lat. fol. 306",/,
"Bern, Universitätsbibl. lat. fol. 249",/,
"Bern, Universitätsbibl. theol. lat. fol. 440",/,
"Bern, Universitätsbibl. 688",/,
"Bernkastel Kues, Hospital, 223",CiSaMe has MF,
"Biberach, Spitalarchiv, B 3515",Manoscritti giuridici medievali (Atria has microfilm images),
